name,price,category,brand,url,sku,variant,color,description,spec_Frame,spec_Framefit,spec_Gewicht,spec_Gewichtslimiet,spec_Shifter,spec_Voorderailleur,spec_Achterderailleur,spec_Crankstel,spec_Bottom_bracket,spec_Cassette,spec_Ketting,spec_Pedaal,spec_Maximale_maat_kettingblad,spec_Naaf_voor,spec_As_voorwiel,spec_Naaf_achter,spec_Velg,spec_Buitenband,spec_Maximale_bandenmaat,spec_Zadel,spec_Zadelpen,spec_Stuur,spec_Stuurlint,spec_Stuurpen,spec_Balhoofdstel,spec_Rem,spec_Shifter_speed,spec_Voorvork,spec_As_achterwiel,spec_Spaken,spec_Remschijf,spec_Schijfdiameter,spec_Buitenband_-_onderdelen,spec_Velglint,spec_Frame_plus_vork,spec_Remgreep,spec_Handvatten,spec_Wiel_voor,spec_Wiel_achter,spec_Tas,spec_Accu,spec_Oplader,spec_Motor,spec_Maximaal_geschikte_veerweg,spec_Stuur_stuurpen_(geïntegreerd),spec_Binnenband,spec_Computer,spec_Stuur_-_onderdelen,spec_Bidonhouder,spec_Bidon,spec_Kettingblad
FX Sport SL 5,1999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47263/,47263,greendark_black,Green dark/Black,,400 Series Oclv Carbon,Comfort*,"M - 10,30 kg",136 kg,SRAM Apex,"1x, geen voorderailleur","SRAM Apex 1, lange kooi, max. tandwielgrootte 42T","Prowheel lichtmetaal, 42T narrow-wide kettingblad, 175 mm lengte","Shimano RS500, 86 mm, PressFit*","microSHIFT XLE, 11-42, 11-speed","SRAM PC-1130, 11-speed*",Bontrager City pedalen,1x: 44T,"Formula CL-51 lichtmetaal, 5 x 100 mm QR",135 x 5 mm schroefas,"Formula CL-52 lichtmetaal, 5 x 135 mm QR","Bontrager Paradigm, Tubeless Ready, 32-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager GR1 Expert, Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 40 mm","42 mm zonder spatborden, 40 mm met spatborden","Bontrager Montrose Comp, stalen rails, 138 mm breedte","Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: XS, S Bontrager Satellite Plus IsoZone, lichtmetaal, 31,8 mm, 15 mm rise, 600 mm breedte",,"Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 90 mm lengte",,"Shimano hydraulische schijfrem, MT201 hendel, UR300 remklauw",11-speed,"Carbon, verborgen spatbordbevestigingen, flat-mount schijfrembevestiging, 100 x 5 mm ThruSkew",169 x 5 mm schroefas,,"Shimano RT10, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,"Bontrager Satellite IsoZone Plus, lock-on, ergonomisch",,,,,,,,,,,,,,
Domane AL 5 Gen 4,1999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41395/,41395,black,Black,,100 Series Alpha Aluminium,Endurance*,"56 cm - 9,85 kg",125 kg,Shimano 105 R7120,"Shimano 105 R7100, 31,8 mm klem, down swing","Shimano 105 R7100, max. tandwielgrootte 36T","Maat: 44 Shimano 105 R7100, 50/34, 165 mm lengte","Maat: 44, 49, 52, 54, 56, 58, 61 Shimano RS501 BSA","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 50T, 2x: 50/34","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 32 mm",,"Verse Short, stalen rails, 145 mm breedte","Maat: 44, 49 Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 250 mm lengte","Maat: 44 Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 36 cm breedte bij hendels, 40 cm breedte onderin stuurbeugel",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Shimano 105 hydraulische schijfrem, flat-mount",12-speed,"Domane AL carbon, tapered carbon steerer, internal brake routing, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,,,,,,,,,,,,,,
Checkpoint ALR 5 Gen 3,1999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49946/,49946,bluelight_teal,Blue light/Teal,,300 Series Alpha Aluminium,Endurance*,"ML- 9,87 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,SRAM Apex,"1x, geen voorderailleur","SRAM Apex XPLR, max. tandwielgrootte 44T","Maat: XS, S SRAM Apex 1, 40T, DUB Wide, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM XPLR PG-1231, 11-44, 12-speed","SRAM Apex, 12-speed",,1x:44 2x: 46/30,"Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm 23, tubeless ready, 24-gaats, 23 mm velgbreedte, Presta-ventiel","Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm","50 mm zonder spatborden, 42 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Comp, stalen rails, 145 mm breedte","Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: XS, S Bontrager Elite Gravel, lichtmetaal, 40 cm breedte","Maat: XS, S, M, ML Bontrager Supertack geperforeerd stuurlint","Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Maat: XS, S, M, ML, L, XL SRAM Apex D1 hydraulic disc, flat mount, front caliper",12-speed,"Trek Checkpoint, full carbon, tapered steerer, rack mounts, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","SRAM Paceline, rounded, centerlock, 160mm",Maximale maten remschijf: 180 mm vooraan en achteraan,"Bontrager TLR-dichtmiddel, 175 ml",,,"SRAM Apex, 12 speed",,,,,,,,,,,,,,,
Émonda SL 5,2699.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36974/,36974,greydark,Grey dark,,500 Series Oclv Carbon,H1.5 Race,"56 cm - 8,87 kg",125 kg,"Shimano 105 R7025, hendel met korte greepwijdte","Shimano 105 R7000, aanlasnok","Shimano 105 R7000, korte kooi, max. tandwielgrootte 30T","Maat: 47 Shimano 105 R7000, 50/34 (compact), 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 R7000, 11-30, 11 speed","Shimano 105 HG601, 11-speed",,"1x: 50T, 2x: 53/39","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 28 mm",28 mm,"Maat: 47, 50, 52 Bontrager Verse Short Comp, stalen rails, 155 mm breedte","Maat: 47, 50, 52, 54 Bontrager lichtmetalen seatmast cap, 10 mm offset, korte versie","Maat: 47, 50 Bontrager Comp VR-C, lichtmetaal, 31,8 mm, 100 mm reach, 124 mm drop, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 47 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Shimano 105 hydraulische schijfrem, flat-mount",11-speed,"Émonda SL full carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, Flat-Mount schijfrem, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,,,,,,,,,,,,,,
FX Sport SL 6,2799.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47256/,47256,bronze_black,Bronze/Black,,400 Series Oclv Carbon,Comfort*,"M - 9,50 kg",136 kg,,"1x, geen voorderailleur","SRAM Apex XPLR eTap AXS, max. tandwielgrootte 44T","Maat: XS, S SRAM Apex 1, 40T, DUB Wide, 170 mm lengte","SRAM DUB, 86,5 mm, PressFit","SRAM XPLR PG-1231, 11-44, 12-speed","SRAM Apex, 12-speed",VPE-993T,1x: 44T,"Bontrager Affinity, Tubeless Ready, centerlock, 100x5mm axle",135 x 5 mm schroefas,"Bontrager Affinity Comp, Shimano 11/12 speed freehub, 142x5mm",,"Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm","42 mm zonder spatborden, 40 mm met spatborden","Bontrager Montrose Comp, stalen rails, 138 mm breedte","Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: XS, S, M Bontrager Satellite Plus IsoZone, lichtmetaal, 31,8 mm, 15 mm rise, 600 mm breedte",,"Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 90 mm lengte",,"Shimano hydraulische schijfrem, MT201 hendel, UR300 remklauw",,"Carbon, verborgen spatbordbevestigingen, flat-mount schijfrembevestiging, 100 x 5 mm ThruSkew",169 x 5 mm schroefas,,"Shimano RT10, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,"Bontrager Satellite IsoZone Plus, lock-on, ergonomisch","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 100 x 5 mm QR","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, Shimano 11-speed freehub, 135x5mm skewer",,,,,,,,,,,,
Domane SL 5 Gen 4,2799.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41348/,41348,greylight,Grey light,,500 Series Oclv Carbon,Endurance*,"56 cm - 9.02 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano 105 R7120,"Shimano 105 R7100, aanlasnok, down swing","Shimano 105 R7100, max. tandwielgrootte 36T","Maat: 44, 47 Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 48T, 2x: 52/36","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm","38mm zonder spatborden, 35mm met spatborden","Maat: 44, 47, 50, 52 Verse Short Comp, stalen rails, 155 mm breedte","Maat: 44, 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 44, 47 Bontrager Elite IsoZone VR-SF, lichtmetaal, 31,8 mm, interne Di2-kabelgeleiding, 75 mm reach, 128 mm drop, 36 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Trek RCS Pro, -7 graden, 60 mm lengte",,"Shimano 105 hydraulische schijfrem, flat-mount",12-speed,"Domane SL carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 142 x 12 mm steekas",Bontrager BITS Internal Frame opbergtas,,,,,,,,,,,
FX Sport 6,2999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35787/,35787,black,Black,,400 Series Oclv Carbon,Comfort*,M - 9.47 kg,136 kg,Shimano RS700,"1x, geen voorderailleur","Shimano GRX RX812, lange kooi, max. tandwielgrootte 42T","Maat: XS, S Shimano GRX RX600, 40T kettingblad, 170 mm lengte","Shimano RS500, 86 mm, PressFit","Shimano SLX M7000, 11-42, 11-speed","Shimano 105 HG601, 11-speed",VPE-993T,1x: 44T,"Bontrager Affinity, Tubeless Ready, centerlock, 100x5mm axle",135 x 5 mm schroefas,,,"Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm","700 x 42mm zonder spatborden, 700 x 40mm met spatborden","Bontrager Montrose Comp, stalen rails, 138 mm breedte","Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: XS, S, M Bontrager Satellite Plus IsoZone, lichtmetaal, 31,8 mm, 15 mm rise, 600 mm breedte",,"Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 90 mm lengte",,"Shimano hydraulische schijfrem, MT201 hendel, UR300 remklauw",11-speed,"Carbon, verborgen spatbordbevestigingen, flat-mount schijfrembevestiging, 100 x 5 mm ThruSkew",169 x 5 mm schroefas,,"Shimano RT10, centerlock, 160 mm",Maximale maten remschijf: 160mm voor &amp; achter,,,,,"Bontrager Satellite IsoZone Plus, lock-on, ergonomisch","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 100 x 5 mm QR","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, Shimano 11-speed freewheelnaaf, 135 x 5 mm snelspanner",,,,,,,,,,,,
Domane+ AL 5,2999.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47218/,47218,blue,Blue,,100 Series Alpha Aluminium,Endurance*,56 cm - 14.10 kg,125 kg,Shimano 105 R7120,"Shimano 105 R7100, 31,8 mm klem, down swing","Shimano 105 R7100, max. tandwielgrootte 36T","Maat: 49 FSA Vero Pro, 50/34, 165 mm lengte","Koppelsensor, geschroefde trapas van 110mm","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,2x: 50/34,"Formula RX-812 lichtmetaal, afgedichte lagers, 6-bout, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Bontrager Paradigm, Tubeless Ready, 28-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 32 mm","38mm zonder spatborden, 32mm met spatborden","Maat: 49, 52 Verse Short Comp, stalen rails, 155 mm breedte","Bontrager carbon, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: 49 Bontrager Elite IsoZone VR-SF, lichtmetaal, 31,8 mm, interne Di2-kabelgeleiding, 75 mm reach, 128 mm drop, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,,"FSA geïntegreerd, afgedichte industrielagers, 1-1/8"" bovenzijde, 1.5"" onderzijde",,12-speed,"Domane+ carbon, tapered alloy steerer, internal brake routing, fender mounts, flat mount disc, 12x100mm thru axle",,,"Shimano RT66, 6-bout, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,,,,"250 Wh, geïntegreerd in de onderbuis","2A, 42V output, 100V-240V AC input","Hyena naafmotor, 40 Nm, 250 W",,,,,,,,
Madone SL 5 Gen 8,3099.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46218/,46218,blue,Blue,,500 Series Oclv Carbon,H1.5 Race*,ML - 8.70 kg (met binnenbanden),125 kg,Shimano 105 R7120,"Shimano 105 R7100, aanlasnok, down swing","Shimano 105 R7100, max. tandwielgrootte 36T","Maat: XS, S Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 54T, 2x: 56/43","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 28 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Bontrager Aeolus Comp, stalen rails, 155 mm breedte","Maat: XS, S, M, XL Madone aero carbon zadelpen, 0 mm offset, korte versie","Maat: XS Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 36 cm breedte bij hendels, 40 cm breedte onderin stuurbeugel",,"Maat: XS Trek RCS Pro, -7 graden, 80 mm lengte",,,12-speed,"Madone Gen 8 full carbon, tapered carbon steerer, internal brake routing, flat mount disc, 12x100mm chamfered thru axle","Maat: XS, S, M, ML, L, XL Bontrager Switch gegroefde steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT70, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter",,,,,,"Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 100 x 12 mm steekas",,,,,,,,,,,,,
Checkpoint SL 5 AXS Gen 3,3499.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/47071/,47071,black_grey,Black/Grey,,500 Series Oclv Carbon,Endurance*,"ML- 9,50 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,,"1x, geen voorderailleur","SRAM Apex XPLR eTap AXS, max. tandwielgrootte 44T","Maat: XS, S SRAM Apex 1, 40T, DUB Wide, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM XPLR PG-1231, 11-44, 12-speed","SRAM Apex, 12-speed",,1x:44 2x: 46/30,"Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Maat: XS, S, M, ML, L, XL Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager Girona RSL, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 220 tpi, 700 x 42 mm","50 mm zonder spatborden, 42 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Verse Short Comp, stalen rails, 155 mm breedte","Bontrager carbon, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: XS Bontrager Elite Gravel, lichtmetaal, 40 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 60 mm lengte",,,,"Checkpoint full carbon, taps toelopende carbon stuurbuis, spatbordbevestigingen, drievoudige dragerophanging, flat-mount schijfrem, 12 x 100 mm afgeschuinde steekas","Maat: XS, S, M, ML, L, XL Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","SRAM Paceline, afgerond, centerlock, 160 mm",Maximale diameter remschijven: 180 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 100 x 12 mm steekas",,,SRAM eTap accu (met lader),,,40 mm (XS: alleen geschikt voor een starre voorvork) In de veelgestelde vragen over de Checkpoint SL Gen 3 vind je de passende opties,,,,,,,
Boone 5,3499.0,Cyclocross bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41655/,41655,greylight,Grey light,,600 Series Oclv Carbon,H1.5 Race*,"56 cm - 8,50 kg",125 kg,SRAM Apex,"1x, geen voorderailleur","SRAM Apex XPLR, max. tandwielgrootte 44T","Maat: 49 SRAM Apex 1, 40T, DUB Wide, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM XPLR PG-1231, 11-44, 12-speed","SRAM Apex, 12-speed",,Bekijk de servicehandleiding,,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager CX3 Team Issue, aramide hieldraad, 120 tpi, 700 x 32 mm",38 mm,"Maat: 49, 52 Verse Short Comp, stalen rails, 155 mm breedte","Maat: 49, 52, 54, 56 Bontrager carbon seatmast cap, 5 mm offset, korte versie","Maat: 49 Bontrager Elite IsoZone VR-CF, lichtmetaal, 31,8 mm, 93 mm reach, 123 mm drop, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 49 Bontrager Pro, 31,8 mm, geschikt voor Blendr, 7 graden, 80 mm lengte",,"SRAM Apex hydraulische schijfrem, flat-mount",12-speed,"Trek Cross, full carbon, taps toelopende carbon stuurbuis, flat-mount schijfrem, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"SRAM Paceline, afgerond, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,"SRAM Apex, 12-speed",,"Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,,,,,,,,,,,
Checkpoint SL 5 Gen 2,3699.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/41398/,41398,orange,Orange,,500 Series Oclv Carbon,Endurance*,"56 cm - 9,76 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,Shimano GRX RX610,"Shimano GRX RX820, aanlasnok, down swing","Shimano GRX RX820, max. tandwielgrootte 36T","Maat: 49 Shimano GRX RX610, 46/30, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7100, 11-36, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 46T, 2x: 50/37","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm",Bekijk de servicehandleiding,"Maat: 49, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Bontrager carbon, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: 49 Bontrager Elite Gravel, lichtmetaal, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 49 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Shimano RX410 hydraulische schijfrem, flat-mount",12-speed,"Trek Checkpoint, full carbon, tapered carbon steerer, rack mounts, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 142 x 12 mm steekas",Bontrager BITS Internal Frame opbergtas,,,,,,,,,,,
Checkpoint SL 6 AXS Gen 3,3999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/55098/,55098,greendark,Green dark,,500 Series Oclv Carbon,Endurance*,,125 kg,,"1x, geen voorderailleur","SRAM Rival XPLR AXS, max. tandwielgrootte 46T",,"SRAM DUB, T47 met schroefdraad, interne lagers*","SRAM Rival XPLR XG-1351, 10-46, 13-speed","SRAM Rival, 13-speed*",,1x:44 2x: 46/30,,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,"Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm","50 mm zonder spatborden, 42 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Comp, stalen rails, 145 mm breedte","Bontrager carbon, 27,2 mm, 8 mm offset, 330 mm lengte","Maat: XS, S Bontrager Elite Gravel, lichtmetaal, 40 cm breedte",Bontrager Supertack Perf tape,"Maat: XS Bontrager Pro, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,,,,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,Maximale maten remschijf: 180 mm vooraan en achteraan,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Paradigm Comp 25, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm Comp 25, Tubeless Ready, 25mm rim width, SRAM XD-R 12-speed freehub, 142x12 thru axle",,SRAM eTap accu (met lader),,,40 mm (XS: alleen geschikt voor een starre voorvork) In de veelgestelde vragen over de Checkpoint SL Gen 3 vind je de passende opties,,,,,,,
Madone SL 6 AXS Gen 8,4299.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46221/,46221,black,Black,,500 Series Oclv Carbon,H1.5 Race*,"ML - 8.43 kg (met TLR sealant, zonder binnenbanden)",125 kg,SRAM Rival eTap AXS,"SRAM Rival D1 AXS, aanlasnok",SRAM Rival AXS,"Maat: XS, S SRAM Rival AXS met vermogensmeter, 48/35, DUB, 165 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers","SRAM XG-1250, 10-36, 12-speed","SRAM Rival, 12-speed*",,"1x: 54T, 2x: 56/43","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35mm rim depth, 100x12mm thru axle","Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 170 tpi, 700 x 28 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Bontrager Aeolus Comp, stalen rails, 155 mm breedte","Maat: XS, S, M, XL Madone aero carbon zadelpen, 0 mm offset, korte versie","Maat: XS Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 36 cm breedte bij hendels, 40 cm breedte onderin stuurbeugel",,"Maat: XS Trek RCS Pro, -7 graden, 80 mm lengte",,,12-speed,"Madone Gen 8 full carbon, tapered carbon steerer, internal brake routing, flat mount disc, 12x100mm chamfered thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"SRAM Paceline, afgerond, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter",,Bontrager TLR,,,,"Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, 35 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus Elite 35, OCLV Carbon, Tubeless Ready, SRAM XD-R freewheelbody, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,,,,,,,,
