post_title,post_content,post_status,post_type,sku,regular_price,product_cat,brand,product_url,variant,color,images,meta:image_1_local_path,meta:additional_image_2,meta:image_2_local_path,meta:additional_image_3,meta:image_3_local_path,meta:additional_image_4,meta:image_4_local_path,meta:additional_image_5,meta:image_5_local_path,meta:import_date,meta:import_source
Endurace AllRoad,,publish,product,,,Endurance,Canyon,https://www.canyon.com/nl-nl/racefietsen/endurance-racefietsen/endurace/allroad/endurace-allroad/4164.html,,,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw8303aeca/images/top/2025_TOP-3/2025/2025_TOP-3_endurace_all-road-5_4164_R138_P01_frame.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-3_endurace_all-road-5_4164_R138_P01_frame.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwcf5e15c4/images/top/2025_TOP-2/2025/2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwa2e6b05a/images/top/2025_TOP-4/2025/2025_TOP-4_endurace_all-road-5_4164_R138_P01_rack-rivets.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-4_endurace_all-road-5_4164_R138_P01_rack-rivets.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwdc7c280d/images/full/2025_FULL_/2025/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg?sw=448&sh=231&sm=fit&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Endurace_AllRoad/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwcbeb8e09/images/top/2025_TOP-1/2025/2025_TOP-1_endurace_all-road-5_4164_R138_P01_tt-rivets.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-1_endurace_all-road-5_4164_R138_P01_tt-rivets.jpg,2025-07-18 10:28:36,trek_scraper
Aeroad CF SLX 8 AXS SPEED,,publish,product,,,Aero,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/aeroad/aeroad-cf-slx/aeroad-cf-slx-8-axs-speed/4037.html,,,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwdf8a8624/images/pdp/road-bikes/Adv-pdp-aeroad-cf-slx-01.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_AXS_SPEED/Adv-pdp-aeroad-cf-slx-01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwe3e860aa/images/top/2026_TOP-3/2026/2026_TOP-3_aeroad_cf-slx-8-axs_4037_R107_P04_adjustable-cockpit.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_AXS_SPEED/2026_TOP-3_aeroad_cf-slx-8-axs_4037_R107_P04_adjustable-cockpit.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw84acb28d/images/pdp/road-bikes/Adv-pdp-aeroad-cf-slx-02.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_AXS_SPEED/Adv-pdp-aeroad-cf-slx-02.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw5e926941/images/top/2026_TOP-1/2026/2026_TOP-1_aeroad_cf-slx-8-axs_4037_R107_P04_peloton-performance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_AXS_SPEED/2026_TOP-1_aeroad_cf-slx-8-axs_4037_R107_P04_peloton-performance.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw70f40962/images/top/2026_TOP-6/2026/2026_TOP-6_aeroad_cf-slx-8-axs_4037_R107_P04_integrated-tool.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_AXS_SPEED/2026_TOP-6_aeroad_cf-slx-8-axs_4037_R107_P04_integrated-tool.jpg,2025-07-18 10:28:36,trek_scraper
