name,price,category,brand,url,sku,variant,color,description,hero_image_1_url,hero_image_1_path,hero_image_1_filename,hero_image_2_url,hero_image_2_path,hero_image_2_filename,hero_image_3_url,hero_image_3_path,hero_image_3_filename,hero_image_4_url,hero_image_4_path,hero_image_4_filename,hero_image_5_url,hero_image_5_path,hero_image_5_filename,hero_image_6_url,hero_image_6_path,hero_image_6_filename,hero_image_7_url,hero_image_7_path,hero_image_7_filename,hero_image_8_url,hero_image_8_path,hero_image_8_filename,hero_image_9_url,hero_image_9_path,hero_image_9_filename,hero_image_10_url,hero_image_10_path,hero_image_10_filename
Endurace AllRoad,,Endurance,Canyon,/nl-nl/racefietsen/endurance-racefietsen/endurace/allroad/endurace-allroad/4164.html,,,,,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwdc7c280d/images/full/2025_FULL_/2025/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Endurace_AllRoad/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwdc7c280d/images/full/2025_FULL_/2025/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg?sw=448&sh=231&sm=fit&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Endurace_AllRoad/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Endurace_AllRoad/Splitit.png,Splitit.png,"https://dma.canyon.com/image/upload/w_513,h_289,c_fill/f_auto/q_auto/2025_Launch_Product_Endurace_Web_PDP-AllRoad_01_1920x1080_ALL_ryoxv6",images/Canyon/Endurace_AllRoad/2025_Launch_Product_Endurace_Web_PDP-AllRoad_01_1920x1080_ALL_ryoxv6.jpg,2025_Launch_Product_Endurace_Web_PDP-AllRoad_01_1920x1080_ALL_ryoxv6.jpg,"https://dma.canyon.com/image/upload/w_513,h_289,c_fill/f_auto/q_auto/2025_Launch_Product_Endurace_Web_PDP-AllRoad_02_1920x1080_ALL_qat9rp",images/Canyon/Endurace_AllRoad/2025_Launch_Product_Endurace_Web_PDP-AllRoad_02_1920x1080_ALL_qat9rp.jpg,2025_Launch_Product_Endurace_Web_PDP-AllRoad_02_1920x1080_ALL_qat9rp.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwcbeb8e09/images/top/2025_TOP-1/2025/2025_TOP-1_endurace_all-road-5_4164_R138_P01_tt-rivets.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-1_endurace_all-road-5_4164_R138_P01_tt-rivets.jpg,2025_TOP-1_endurace_all-road-5_4164_R138_P01_tt-rivets.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwcf5e15c4/images/top/2025_TOP-2/2025/2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg,2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw8303aeca/images/top/2025_TOP-3/2025/2025_TOP-3_endurace_all-road-5_4164_R138_P01_frame.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-3_endurace_all-road-5_4164_R138_P01_frame.jpg,2025_TOP-3_endurace_all-road-5_4164_R138_P01_frame.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwa2e6b05a/images/top/2025_TOP-4/2025/2025_TOP-4_endurace_all-road-5_4164_R138_P01_rack-rivets.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-4_endurace_all-road-5_4164_R138_P01_rack-rivets.jpg,2025_TOP-4_endurace_all-road-5_4164_R138_P01_rack-rivets.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Endurace_AllRoad/pdpModalTriggerCompare.jpg,pdpModalTriggerCompare.jpg
Banddruk voor racefietsen – de Canyon gids,,Endurance,Canyon,/nl-nl/blog-content/wegfietsen-blogs/bandendruk-voor-racefietsen/b29062022.html,,,,"Het laatste nieuws, tips en exclusieve aanbiedingen direct in je mailbox.",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw53c65082/images/blog/Road/reifendruck-beim-rennrad-main.jpg?sw=503&sfrm=jpg&q=80,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/reifendruck-beim-rennrad-main.jpg,reifendruck-beim-rennrad-main.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwaee1b802/images/blog/Road/reifendruck-beim-rennrad-01.jpg?sw=1064,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/reifendruck-beim-rennrad-01.jpg,reifendruck-beim-rennrad-01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw837d9fd5/images/blog/Road/reifendruck-beim-rennrad-02.jpg?sw=1064,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/reifendruck-beim-rennrad-02.jpg,reifendruck-beim-rennrad-02.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwfa4d9b78/images/blog/Road/reifendruck-beim-rennrad-03.jpg?sw=1064,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/reifendruck-beim-rennrad-03.jpg,reifendruck-beim-rennrad-03.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw6eb91f72/images/blog/Road/reifendruck-beim-rennrad-04.jpg?sw=1064,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/reifendruck-beim-rennrad-04.jpg,reifendruck-beim-rennrad-04.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwdae141bf/images/blog/Road/road-bike-link1.jpg?sw=416&sh=416&sm=cut,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/road-bike-link1.jpg,road-bike-link1.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwbf593237/images/blog/Road/aero-road-bike-link2.jpg?sw=416&sh=416&sm=cut,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/aero-road-bike-link2.jpg,aero-road-bike-link2.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw53ef7a04/images/blog/Road/endurance-bike-link3.jpg?sw=416&sh=416&sm=cut,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/endurance-bike-link3.jpg,endurance-bike-link3.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw3bf8ff29/images/blog/Road/race-road-bike-link4.jpg?sw=416&sh=416&sm=cut,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/race-road-bike-link4.jpg,race-road-bike-link4.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw44351486/images/blog/Road/cyclocross-bike-link5.jpg?sw=416&sh=416&sm=cut,images/Canyon/Banddruk_voor_racefietsen_–_de_Canyon_gids/cyclocross-bike-link5.jpg,cyclocross-bike-link5.jpg
Racefietsen van de professionele teams van Canyon,,Endurance,Canyon,/nl-nl/blog-content/wegfietsen-blogs/racefietsen-professionele-teams/b09092022.html,,,,"Welke racefiets gebruiken de professionals voor tijdritten?De profs gebruiken speciale tijdritfietsen tijdens tijdritwedstrijden of -etappes. Onze teams gebruiken de Speedmax TT, die is gebaseerd op de gelijknamigetriatlonfiets.Deze fiets is qua aerodynamica geoptimaliseerd en heeft een unieke cockpit met een aerostuur. De geometrie is agressief en het is een echte snelheidsmachine.",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dweb3ee4e0/images/blog/road-bikes/road-bikes-pro-rides-main.jpg?sw=503&sfrm=jpg&q=80,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-main.jpg,road-bikes-pro-rides-main.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw9bd037ef/images/blog/road-bikes/road-bikes-pro-rides-1st-gen-ultimate1.jpg?sw=1064,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-1st-gen-ultimate1.jpg,road-bikes-pro-rides-1st-gen-ultimate1.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw0fbc3e11/images/blog/road-bikes/road-bikes-pro-rides-tdff.jpg?sw=1064,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-tdff.jpg,road-bikes-pro-rides-tdff.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw70e0e07d/images/blog/road-bikes/road-bikes-pro-rides-movistar.jpg?sw=1064,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-movistar.jpg,road-bikes-pro-rides-movistar.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwadfa89e1/images/blog/road-bikes/road-bikes-pro-rides-alpecin.jpg?sw=1064,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-alpecin.jpg,road-bikes-pro-rides-alpecin.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw41cc885d/images/blog/road-bikes/road-bikes-pro-rides-canyonsram-racing.jpg?sw=848&sh=477&sm=cut,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-canyonsram-racing.jpg,road-bikes-pro-rides-canyonsram-racing.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw5c5c59b7/images/blog/road-bikes/road-bikes-pro-rides-canyonsram-racing2.jpg?sw=848&sh=477&sm=cut,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-canyonsram-racing2.jpg,road-bikes-pro-rides-canyonsram-racing2.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw7b7c8356/images/blog/road-bikes/road-bikes-pro-rides-canyonsram-racing3.jpg?sw=848&sh=477&sm=cut,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-canyonsram-racing3.jpg,road-bikes-pro-rides-canyonsram-racing3.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw45c620f7/images/blog/road-bikes/road-bikes-pro-rides-canyonsram-racing4.jpg?sw=848&sh=477&sm=cut,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-canyonsram-racing4.jpg,road-bikes-pro-rides-canyonsram-racing4.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwfac576af/images/blog/road-bikes/road-bikes-pro-rides-canyonsram-generation.jpg?sw=1064,images/Canyon/Racefietsen_van_de_professionele_teams_van_Canyon/road-bikes-pro-rides-canyonsram-generation.jpg,road-bikes-pro-rides-canyonsram-generation.jpg
Speedmax CFR Track,,Road Bikes,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/speedmax-track/speedmax-cfr-track/3923.html,,,,,"https://dma.canyon.com/image/upload/w_750,c_fit/f_auto/q_auto/v1721860731/CA99E663-4A70-4F71-A78C5CA57C6583EF",images/Canyon/Speedmax_CFR_Track/CA99E663-4A70-4F71-A78C5CA57C6583EF.jpg,CA99E663-4A70-4F71-A78C5CA57C6583EF.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw4185d95f/images/full/full_2023_/2023/full_2023_speedmax_3923_speedmax-track-cfr_P01_P5.jpg?sw=448&sh=231&sm=fit&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Speedmax_CFR_Track/full_2023_speedmax_3923_speedmax-track-cfr_P01_P5.jpg,full_2023_speedmax_3923_speedmax-track-cfr_P01_P5.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Speedmax_CFR_Track/Splitit.png,Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw032f1b3d/images/pdp/road-bikes/brand-canyon-speedmax-cfr-track-MY24-01.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Speedmax_CFR_Track/brand-canyon-speedmax-cfr-track-MY24-01.jpg,brand-canyon-speedmax-cfr-track-MY24-01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwd875b759/images/pdp/road-bikes/brand-canyon-speedmax-cfr-track-MY24-02.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Speedmax_CFR_Track/brand-canyon-speedmax-cfr-track-MY24-02.jpg,brand-canyon-speedmax-cfr-track-MY24-02.jpg,"https://dma.canyon.com/image/upload/w_504,h_504,c_fill/f_auto/q_auto/v1721862815/5CF67900-00D4-4B95-A766CB70241F7E82",images/Canyon/Speedmax_CFR_Track/5CF67900-00D4-4B95-A766CB70241F7E82.jpg,5CF67900-00D4-4B95-A766CB70241F7E82.jpg,"https://dma.canyon.com/image/upload/w_504,h_504,c_fill/f_auto/q_auto/v1721862817/22D1F86E-E3B6-4E60-8717AEE08AC93C40",images/Canyon/Speedmax_CFR_Track/22D1F86E-E3B6-4E60-8717AEE08AC93C40.jpg,22D1F86E-E3B6-4E60-8717AEE08AC93C40.jpg,"https://dma.canyon.com/image/upload/w_504,h_504,c_fill/f_auto/q_auto/v1721862812/035E0A71-2E25-4C67-B6A44AB44DAE9ACA",images/Canyon/Speedmax_CFR_Track/035E0A71-2E25-4C67-B6A44AB44DAE9ACA.jpg,035E0A71-2E25-4C67-B6A44AB44DAE9ACA.jpg,"https://dma.canyon.com/image/upload/w_504,h_504,c_fill/f_auto/q_auto/v1721862816/1C9FF7FC-DC5B-4500-A7A70A673F049127",images/Canyon/Speedmax_CFR_Track/1C9FF7FC-DC5B-4500-A7A70A673F049127.jpg,1C9FF7FC-DC5B-4500-A7A70A673F049127.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Speedmax_CFR_Track/pdpModalTriggerCompare.jpg,pdpModalTriggerCompare.jpg
